Sentences,Explicit Bias,Implicit Bias,Emotional Intensity,Irony
xswl来自直女的真诚发问话说我从初中就开始看有同性恋相关的漫画，并不是刻意去找这种题材，而是很多漫画里都涉及到，当时看也没觉得是很敏感的事。上大学后除了漫画还看小说和影视剧，直到现在也一样，然而我一直是异性恋啊，所以青少年接触同性题材会被影响性观念在我身上好像说不通，也可能是没试过,0,0,0,0
姐妹你真的误会了，他俩真不是给子，你看这照片，不就是拍了组一模一样的图吗？不就是看起来像情头而且都放在了第一张吗？队友同事拍一张怎么了？！好了好了姐妹你别说了，世界上没有那么多同性恋,1,1,1,0
女孩是个同性恋我越看越抽象越看越雷人，不是，饭不吃来看这个好惶恐，我不是故意的,1,1,1,0
显然还是做同性恋好啊,0,0,1,0
歌手是双胞胎姐妹这首歌为同性恋发声，歌词《IfYouLoveSomeone》,0,0,0,0
推文超话你最好是by一枚纽扣裴焕颜子觅撩系直男攻钓系美人受文案：裴焕是个直男。“我不理解，为什么男生会喜欢男生。”“没兴趣，他们同性恋关我什么事。”“帅吗？没感觉。”而这个直男，却会因为一条朋友圈，跑半个城市就为了给颜子觅买一杯奶茶。会为了颜子觅喜欢的音乐会，费尽心思买票。会在喝多了之后，按着颜子觅的肩膀亲他，会在感知危险的时候抱着颜子觅让他别走。会为颜子觅打架，为颜子觅一整夜不睡，为颜子觅骂人。也会说。“别生我的气了。”“乖乖等我回来，我好想你。”“颜子觅，你怎么会这么好看。”直男？你最好是。首发晋江，情有独钟，天作之合，甜文，校园作品版权归原作者所有推文小说推荐,0,0,1,0
朋友要名为陪伴实则强制押着我看庆余年了，而且一开始就给我规定了同性恋左右限制,0,1,1,0
本人目前的状态是同性恋吃不下同性恨来一口。,1,1,1,1
马上六一了有人需要我的地址或者是收款码吗？给我寄零食或者转账什么的没有的话我告诉你爸妈你是同性恋,1,1,1,1
打着嗑cp的幌子做梦女泥塑是泥塑性转算什么东西到底是不是同性恋了,0,1,1,0
喂什么叫t但是取向是男的啊！t就是同性恋啊我真服了,0,0,1,0
如果甲甲搞决战钕同性恋天菜战甲之巅那女枪P素不素会直接鲨丝比赛,1,1,1,0
